Keyword,Lat,Lon,Timestamp
common cold,51.50015259,-0.1262362,12/1/2011 10:50
common cold,51.76590729,0.667366505,12/1/2011 11:00
common cold,52.01902771,-0.770427406,12/1/2011 11:00
common cold,51.54578781,-0.055418398,12/1/2011 11:00
common cold,52.92130661,-1.279013991,12/1/2011 11:40
common cold,53.48071289,-2.234376431,12/1/2011 12:00
common cold,52.37756729,-1.481544018,12/1/2011 12:00
common cold,53.99061584,-1.539111733,12/1/2011 12:00
common cold,51.50015259,-0.1262362,12/1/2011 12:00
common cold,53.34410477,-6.267493725,12/1/2011 12:00
common cold,51.50015259,-0.1262362,12/1/2011 12:00
common cold,52.01902771,-0.770427406,12/1/2011 12:00
common cold,52.01902771,-0.770427406,12/1/2011 13:00
common cold,51.50015259,-0.1262362,12/1/2011 13:00
common cold,54.97784042,-1.61291647,12/1/2011 13:00
common cold,51.50015259,-0.1262362,12/1/2011 13:40
common cold,51.76590729,0.667366505,12/1/2011 13:40
common cold,52.62810135,1.299349427,12/1/2011 13:40
common cold,53.75772858,-2.703440189,12/1/2011 13:50
common cold,51.37236023,-0.100401498,12/1/2011 14:50
common cold,54.40805435,-0.491868198,12/1/2011 14:50
common cold,52.60300064,-1.933397293,12/1/2011 15:00
common cold,53.41077805,-2.977838278,12/1/2011 15:00
common cold,51.540905,0.711489975,12/1/2011 15:00
common cold,52.37756729,-1.481544018,12/1/2011 15:00
common cold,52.0593071,1.155672193,12/1/2011 15:00
common cold,52.48295975,-1.893592,12/1/2011 15:00
common cold,55.12707901,-1.50881958,12/1/2011 16:00
common cold,52.272995,-0.875551522,12/1/2011 16:00
common cold,51.1021347,-2.492053986,12/1/2011 16:50
common cold,53.87282181,-2.390724659,12/1/2011 16:50
common cold,53.3577919,-6.486074924,12/1/2011 17:00
common cold,52.48295975,-1.893592,12/1/2011 17:00
common cold,51.50015259,-0.1262362,12/1/2011 17:00
common cold,50.84989548,0.470544308,12/1/2011 17:00
common cold,52.63476944,-1.129519105,12/1/2011 17:00
common cold,52.49757385,-2.1736238,12/1/2011 17:00
common cold,54.94668961,-7.762900829,12/1/2011 18:00
common cold,52.45401382,-1.845980048,12/1/2011 18:00
common cold,55.0353241,-1.509690642,12/1/2011 18:10
common cold,53.76083755,-1.800480008,12/1/2011 18:30
common cold,55.37805176,-3.435972929,12/1/2011 18:50
common cold,51.50015259,-0.1262362,12/1/2011 19:00
common cold,51.86287689,8.498950005,12/1/2011 19:00
common cold,51.48130798,-3.180497885,12/1/2011 19:50
common cold,53.19337463,-2.515547991,12/1/2011 20:00
common cold,51.50015259,-0.1262362,12/1/2011 20:00
common cold,52.68564224,-8.603526115,12/1/2011 20:50
common cold,50.8968811,-1.399710655,12/1/2011 21:00
common cold,51.45084,7.046113491,12/1/2011 21:00
common cold,51.50015259,-0.1262362,12/1/2011 21:00
common cold,52.13263321,5.291265965,12/1/2011 21:50
common cold,57.03033447,9.920958519,12/1/2011 21:50
common cold,51.55170441,-0.158825502,12/1/2011 22:50
